"Contributor","Frecuencia"
"Restrepo, Saturnino",46
"Sanín Cano, Baldomero",31
"Espinosa Guzmán, Rafael",30
"Restrepo Restrepo, Antonio María",30
"López, Ismael",26
"Londoño, Víctor Manuel",24
"Grillo, Maximiliano",23
"Carvajal, Manuel Antonio",21
"Gil, Rivero",20
"Sánchez, Alberto",20
"Valencia, Francisco",20
"Rivas Frade, Fedérico",19
"Restrepo Tirado, Ernesto",18
"Darío, Rubén",17
"Valencia, Guillermo",17
"Umaña Bernal, José",16
"Acosta, Javier",15
"Carrasquilla, Tomás",15
"Gómez Restrepo, Antonio",15
"Laverde Amaya, Isidoro",15
"Marín, Abel",15
"Obando Cardona, Jorge",15
"Mejía Arango, Félix",14
"Montoya, Antonio José",14
"Vélez Barrientos, Lucrecio",13
"López de Mesa, Luis",12
"López, Luis Carlos",12
"Ruíz, Dael",12
"Vives Guerra, Julio",12
"Asunción Silva, José",11
"Cano, Luis",11
"Castro, Alfonso",11
"Henao, Federico Carlos",11
"Heredia, José María de",11
"Velásquez García, José",11
"Blanco Fombona, Rufino",10
"Cano, Fidel",10
"Caro, José Eusebio",10
"Cuervo Márquez, Emilio",10
"Nervo, Amado",10
"Ospina Vásquez, Mariano",10
"Restrepo, José Manuel",10
"Restrepo, Vicente",10
"Samper, Darío",10
"Silva, José Asunción",10
"Tejada Córdoba, B.",10
"Uribe, Diego",10
"Cano, Antonio José",9
"Carducci, Giosuè",9
"Carranza, Eduardo",9
"Gómez Carrillo, Enrique",9
"Lozano y Lozano, Juan",9
"Posada, Eduardo",9
"Rendón, Ricardo",9
"Rivas, Raimundo",9
"Villafañe, Carlos",9
"Caro, Miguel Antonio",8
"Castillo, Eduardo",8
"Coradine, Alberto",8
"Dicenta, Joaquín",8
"Escobar Larrazábal, Melitón",8
"Maya, Rafael",8
"Nieto, Ricardo",8
"Pardo García, Germán",8
"Schwob, Marcel",8
"Soto Borda, Clímaco",8
"D'Oribe, R.",7
"De la Rosa, Leopoldo",7
"Escobar, Pedro Ignacio",7
"Greiff, León de",7
"Jaramillo Arango, Rafael",7
"Jaramillo, Bernardo",7
